id	poc_group	file	program	rc	asan_hit	bug_type	access	boundary_distance	side	summary	log
0007	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.A99	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff87f002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0007_aflplusplus_poppler_pdfimages_JCH201.A99.log
0008	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.Jay	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8fd002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0008_aflplusplus_poppler_pdfimages_JCH201.Jay.log
0009	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.WIf	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff7dc002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0009_aflplusplus_poppler_pdfimages_JCH201.WIf.log
0010	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.WVK	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffb42002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0010_aflplusplus_poppler_pdfimages_JCH201.WVK.log
0011	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.eaS	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff7bb002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0011_aflplusplus_poppler_pdfimages_JCH201.eaS.log
0012	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.nk3	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff871002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0012_aflplusplus_poppler_pdfimages_JCH201.nk3.log
0013	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.xLp	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff86a002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0013_aflplusplus_poppler_pdfimages_JCH201.xLp.log
0014	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.GOm	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff7a60018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0014_aflplusplus_poppler_pdftoppm_JCH201.GOm.log
0015	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.GdF	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffad90018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0015_aflplusplus_poppler_pdftoppm_JCH201.GdF.log
0016	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.Swu	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8050018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0016_aflplusplus_poppler_pdftoppm_JCH201.Swu.log
0017	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.TFm	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff9d00018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0017_aflplusplus_poppler_pdftoppm_JCH201.TFm.log
0018	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.b5j	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8300018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0018_aflplusplus_poppler_pdftoppm_JCH201.b5j.log
0019	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.fAq	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8f10018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0019_aflplusplus_poppler_pdftoppm_JCH201.fAq.log
0020	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.kY2	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffb040018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0020_aflplusplus_poppler_pdftoppm_JCH201.kY2.log
0021	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.lqT	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffaf50018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0021_aflplusplus_poppler_pdftoppm_JCH201.lqT.log
0022	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.nUm	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffa880018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0022_aflplusplus_poppler_pdftoppm_JCH201.nUm.log
0023	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdftoppm_JCH201.qCY	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8c70018c thread T0	628	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0023_aflplusplus_poppler_pdftoppm_JCH201.qCY.log
0024	JCH201	targets/poppler/poc/New-pocs/JCH201/honggfuzz_poppler_pdf_fuzzer_JCH201.Wxd	pdf_fuzzer	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8280031c thread T0	228	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0024_honggfuzz_poppler_pdf_fuzzer_JCH201.Wxd.log
0025	JCH201	targets/poppler/poc/New-pocs/JCH201/honggfuzz_poppler_pdf_fuzzer_JCH201.cSS	pdf_fuzzer	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff7b30c36c thread T0	148	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0025_honggfuzz_poppler_pdf_fuzzer_JCH201.cSS.log
0026	JCH201	targets/poppler/poc/New-pocs/JCH201/honggfuzz_poppler_pdftoppm_JCH201.GHc	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffa6c002f4 thread T0	268	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0026_honggfuzz_poppler_pdftoppm_JCH201.GHc.log
